Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation,Purchase_Date
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,,chiffon,ruffles,animal,1,2025-04-13
1212192089,Casual,Low,0.0,L,Summer,o-neck,Petal,natural,microfiber,,ruffles,animal,0,2025-12-15
1190380701,vintage,High,0.0,L,Automn,o-neck,full,natural,polyster,,,print,0,2025-09-28
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1,2025-04-17
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0,2025-03-13
1068332458,bohemian,Low,0.0,M,Summer,v-neck,sleevless,empire,,,,print,0,2025-07-08
1220707172,Casual,Average,0.0,XL,Summer,o-neck,full,,cotton,,,solid,0,2025-01-21
1219677488,Novelty,Average,0.0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,,0,2025-04-13
1113094204,Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1,2025-05-02
985292672,bohemian,Low,0.0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,,,1,2025-08-03
1117293701,party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0,2025-11-27
898481530,Flare,Average,0.0,free,Spring,v-neck,short,,nylon,,,animal,0,2025-03-29
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,,,chiffon,lace,print,1,2025-04-10
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,,animal,1,2025-12-26
1055411544,Casual,Low,5.0,M,Summer,boat-neck,short,,cotton,,sashes,solid,0,2025-06-01
1162628131,Casual,Low,0.0,free,Winter,boat-neck,full,,other,other,lace,,0,2025-05-11
624314841,cute,Average,4.7,L,spring,o-neck,short,,cotton,,sashes,solid,1,2025-05-30
830467746,bohemian,Medium,5.0,free,Automn,o-neck,full,natural,,,hollowout,patchwork,1,2025-11-05
840857118,Brief,Average,0.0,M,Winter,peterpan-collor,threequarter,natural,cotton,,,patchwork,0,2025-09-15
1113221101,Sexy,Average,5.0,M,Automn,o-neck,sleevless,empire,milksilk,,,,1,2025-12-10
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,,cotton,,beading,solid,0,2025-10-21
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,,chiffon,,solid,0,2025-07-11
